block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF005	MAF005-MAF01	rep	data
1	EAS	487	115	116	51	35	36	7	.	gnomAD
6	EAS	284	62	64	28	23	17	1	.	gnomAD
9	EAS	374	103	69	38	22	16	8	.	gnomAD
1	SAS	850	183	149	70	55	69	7	.	gnomAD
6	SAS	498	120	99	44	36	35	5	.	gnomAD
9	SAS	658	158	130	60	41	57	6	.	gnomAD
1	AFR	540	152	109	41	30	43	18	.	gnomAD
6	AFR	302	77	66	24	21	28	16	.	gnomAD
9	AFR	408	98	85	42	29	34	12	.	gnomAD
1	NFE	1725	477	418	134	83	93	8	.	gnomAD
6	NFE	954	271	243	101	68	72	2	.	gnomAD
9	NFE	1247	377	324	148	71	94	6	.	gnomAD
