block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF005	MAF005-MAF01	rep	data
1	EAS	574	122	116	57	37	33	5	1	RAREsim
1	EAS	559	109	126	54	39	51	8	2	RAREsim
1	EAS	534	134	115	63	35	35	9	3	RAREsim
1	EAS	555	118	114	65	31	44	11	4	RAREsim
1	EAS	550	126	114	57	34	49	7	5	RAREsim
1	EAS	556	127	110	54	37	41	8	6	RAREsim
1	EAS	565	113	128	57	31	51	9	7	RAREsim
1	EAS	594	147	111	52	27	43	8	8	RAREsim
1	EAS	552	104	111	57	43	42	12	9	RAREsim
1	EAS	556	142	108	46	26	45	8	10	RAREsim
1	EAS	582	129	119	59	41	42	11	11	RAREsim
1	EAS	545	115	129	52	36	40	9	12	RAREsim
1	EAS	567	141	110	52	45	39	7	13	RAREsim
1	EAS	555	123	122	61	28	31	9	14	RAREsim
1	EAS	580	130	129	58	37	64	10	15	RAREsim
1	EAS	562	134	124	56	44	53	12	16	RAREsim
1	EAS	543	115	137	58	35	42	12	17	RAREsim
1	EAS	578	121	118	57	50	41	10	18	RAREsim
1	EAS	548	128	136	46	34	43	10	19	RAREsim
1	EAS	590	129	109	60	33	32	10	20	RAREsim
1	EAS	548	106	118	62	36	39	9	21	RAREsim
1	EAS	609	118	125	52	30	37	9	22	RAREsim
1	EAS	590	111	121	55	35	35	10	23	RAREsim
1	EAS	521	125	132	40	40	30	9	24	RAREsim
1	EAS	538	128	113	60	35	37	7	25	RAREsim
1	EAS	565	138	115	47	33	49	5	26	RAREsim
1	EAS	548	112	109	53	48	42	8	27	RAREsim
1	EAS	568	137	109	44	44	27	10	28	RAREsim
1	EAS	541	121	148	54	44	36	8	29	RAREsim
1	EAS	580	131	124	48	34	41	9	30	RAREsim
1	EAS	568	139	137	55	39	33	7	31	RAREsim
1	EAS	529	103	113	50	37	34	8	32	RAREsim
1	EAS	553	137	100	57	27	41	8	33	RAREsim
1	EAS	538	115	112	49	34	45	6	34	RAREsim
1	EAS	524	136	123	49	34	37	11	35	RAREsim
1	EAS	536	146	98	58	48	43	10	36	RAREsim
1	EAS	542	119	104	73	38	39	9	37	RAREsim
1	EAS	590	122	119	70	37	46	12	38	RAREsim
1	EAS	568	138	138	55	35	43	8	39	RAREsim
1	EAS	556	123	119	56	35	46	8	40	RAREsim
1	EAS	574	119	94	56	30	33	7	41	RAREsim
1	EAS	541	137	113	45	34	25	11	42	RAREsim
