block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF005	MAF005-MAF01	rep	data
56	British	303	86	82	28	18	21	1	1	RAREsim
56	British	312	91	75	38	13	23	1	2	RAREsim
56	British	305	89	75	39	19	26	0	3	RAREsim
56	British	303	87	74	37	11	23	2	4	RAREsim
56	British	301	89	82	34	23	22	0	5	RAREsim
56	British	301	93	82	33	30	17	1	6	RAREsim
56	British	308	88	71	39	14	15	0	7	RAREsim
56	British	303	86	85	27	16	30	0	8	RAREsim
56	British	300	88	87	37	20	17	1	9	RAREsim
56	British	317	84	74	27	20	21	1	10	RAREsim
56	British	308	91	76	28	25	21	3	11	RAREsim
56	British	304	82	87	35	21	28	1	12	RAREsim
56	British	304	77	76	29	23	21	2	13	RAREsim
56	British	295	87	83	38	17	21	0	14	RAREsim
56	British	299	84	80	34	23	27	1	15	RAREsim
56	British	308	88	73	39	22	27	0	16	RAREsim
56	British	303	86	95	35	14	30	2	17	RAREsim
56	British	308	90	90	42	17	25	2	18	RAREsim
56	British	308	92	81	34	24	19	1	19	RAREsim
56	British	325	88	84	39	21	21	0	20	RAREsim
56	British	317	88	79	34	21	20	1	21	RAREsim
56	British	323	95	87	36	22	17	1	22	RAREsim
56	British	303	89	80	29	25	20	2	23	RAREsim
56	British	309	94	77	28	16	15	2	24	RAREsim
56	British	308	89	68	38	19	16	0	25	RAREsim
56	British	306	87	74	50	21	22	1	26	RAREsim
56	British	305	90	73	42	19	21	0	27	RAREsim
56	British	304	87	88	33	20	21	0	28	RAREsim
56	British	302	87	79	44	20	26	3	29	RAREsim
56	British	313	88	83	31	16	21	2	30	RAREsim
56	British	326	84	75	31	21	17	0	31	RAREsim
56	British	298	92	80	40	18	24	1	32	RAREsim
56	British	301	88	87	40	22	16	2	33	RAREsim
56	British	298	88	84	32	23	22	1	34	RAREsim
56	British	314	85	70	40	21	21	1	35	RAREsim
56	British	324	89	80	32	16	16	1	36	RAREsim
56	British	309	90	71	35	17	26	1	37	RAREsim
56	British	302	84	77	29	22	22	2	38	RAREsim
56	British	308	99	86	30	19	14	0	39	RAREsim
56	British	297	80	85	34	20	13	0	40	RAREsim
56	British	307	96	78	44	20	25	1	41	RAREsim
56	British	305	90	77	27	14	19	1	42	RAREsim
56	British	302	76	68	40	17	22	1	43	RAREsim
56	British	309	92	69	36	11	24	0	44	RAREsim
56	British	317	87	86	33	15	24	2	45	RAREsim
56	British	304	98	83	29	19	19	1	46	RAREsim
56	British	307	88	78	39	24	16	0	47	RAREsim
56	British	308	87	78	39	11	24	2	48	RAREsim
56	British	311	86	82	39	11	20	0	49	RAREsim
56	British	299	91	80	37	16	30	1	50	RAREsim
56	British	303	92	90	35	23	23	0	51	RAREsim
56	British	318	99	83	29	22	21	2	52	RAREsim
56	British	312	86	79	36	15	20	1	53	RAREsim
56	British	294	84	92	35	22	20	1	54	RAREsim
56	British	306	91	85	44	14	15	3	55	RAREsim
56	British	304	86	81	39	26	18	1	56	RAREsim
56	British	321	89	83	34	19	21	1	57	RAREsim
56	British	305	88	93	30	23	24	0	58	RAREsim
56	British	320	87	73	27	25	21	2	59	RAREsim
56	British	305	86	89	43	25	16	1	60	RAREsim
56	British	308	93	79	41	19	29	2	61	RAREsim
56	British	300	89	84	39	22	22	1	62	RAREsim
56	British	292	90	81	43	13	23	1	63	RAREsim
56	British	317	73	87	40	29	12	2	64	RAREsim
56	British	300	93	81	28	22	25	3	65	RAREsim
56	British	303	90	86	30	23	15	1	66	RAREsim
56	British	297	95	85	37	21	22	0	67	RAREsim
56	British	289	87	82	40	15	15	1	68	RAREsim
56	British	306	93	72	34	19	33	1	69	RAREsim
