block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF005	MAF005-MAF01	rep	data
56	AFR	217	52	45	21	15	23	2	1	RAREsim_intergenic_default
56	AFR	209	49	46	21	13	24	2	2	RAREsim_intergenic_default
56	AFR	224	47	50	20	19	29	3	3	RAREsim_intergenic_default
56	AFR	211	50	38	27	14	30	5	4	RAREsim_intergenic_default
56	AFR	213	51	47	19	19	20	2	5	RAREsim_intergenic_default
56	AFR	204	45	55	28	21	24	3	6	RAREsim_intergenic_default
56	AFR	203	47	48	21	16	23	2	7	RAREsim_intergenic_default
56	AFR	207	50	55	23	19	21	2	8	RAREsim_intergenic_default
56	AFR	216	52	52	24	12	26	2	9	RAREsim_intergenic_default
56	AFR	215	54	64	31	16	25	2	10	RAREsim_intergenic_default
56	AFR	201	41	45	31	16	23	3	11	RAREsim_intergenic_default
56	AFR	214	46	40	22	16	23	2	12	RAREsim_intergenic_default
56	AFR	211	53	54	30	12	23	3	13	RAREsim_intergenic_default
56	AFR	211	58	55	27	22	25	4	14	RAREsim_intergenic_default
56	AFR	218	50	58	26	8	27	3	15	RAREsim_intergenic_default
56	AFR	209	42	49	23	16	32	5	16	RAREsim_intergenic_default
56	AFR	207	48	47	18	27	24	3	17	RAREsim_intergenic_default
56	AFR	214	46	48	26	17	20	1	18	RAREsim_intergenic_default
56	AFR	218	51	39	24	11	31	3	19	RAREsim_intergenic_default
56	AFR	211	56	43	31	15	22	3	20	RAREsim_intergenic_default
56	AFR	205	42	45	16	17	29	2	21	RAREsim_intergenic_default
56	AFR	218	53	52	27	17	23	2	22	RAREsim_intergenic_default
56	AFR	212	54	44	25	11	27	6	23	RAREsim_intergenic_default
56	AFR	207	60	49	23	29	30	2	24	RAREsim_intergenic_default
56	AFR	208	48	46	29	19	27	4	25	RAREsim_intergenic_default
56	AFR	207	56	42	25	19	23	2	26	RAREsim_intergenic_default
56	AFR	206	54	57	29	20	28	2	27	RAREsim_intergenic_default
56	AFR	210	48	55	22	16	29	0	28	RAREsim_intergenic_default
56	AFR	207	53	61	31	18	17	3	29	RAREsim_intergenic_default
56	AFR	210	53	51	29	8	27	2	30	RAREsim_intergenic_default
56	AFR	222	59	52	25	16	26	3	31	RAREsim_intergenic_default
56	AFR	210	41	57	24	15	17	2	32	RAREsim_intergenic_default
56	AFR	213	61	59	22	19	27	4	33	RAREsim_intergenic_default
56	AFR	205	59	37	25	18	25	1	34	RAREsim_intergenic_default
56	AFR	201	58	46	27	14	18	1	35	RAREsim_intergenic_default
56	AFR	210	57	47	31	15	20	2	36	RAREsim_intergenic_default
56	AFR	207	47	55	24	21	18	1	37	RAREsim_intergenic_default
56	AFR	209	53	48	25	15	22	3	38	RAREsim_intergenic_default
56	AFR	205	53	51	24	13	19	3	39	RAREsim_intergenic_default
