block	Singletons	Doubletons	MAC.3.5	MAC.6.10	MAC.11.20	MAC.21.MAF0.005	MAF0.005.MAF0.01	Total	pop	N_bp	Zeros	per_rv
0	0.480851063829787	0.121276595744681	0.123404255319149	0.0638297872340425	0.0425531914893617	0.0659574468085106	0.0148936170212766	470	AFR	8490	1	0.912765957446808
1	0.516483516483517	0.130647130647131	0.102564102564103	0.0622710622710623	0.0317460317460317	0.0634920634920635	0.0207570207570208	819	AFR	13239	0	0.927960927960928
2	0.497167138810198	0.128895184135977	0.13314447592068	0.0580736543909348	0.0410764872521246	0.0552407932011331	0.018413597733711	706	AFR	11037	0	0.932011331444759
3	0.508364813815434	0.143550998381004	0.109552077711819	0.0474905558553697	0.0383162439287642	0.050728548300054	0.0161899622234215	1853	AFR	28833	0	0.914193200215866
4	0.582317073170732	0.128048780487805	0.125	0.0396341463414634	0.0274390243902439	0.0457317073170732	0.00914634146341463	328	AFR	6117	0	0.957317073170732
5	0.52	0.129090909090909	0.128181818181818	0.0663636363636364	0.04	0.0427272727272727	0.0181818181818182	1100	AFR	22692	0	0.944545454545455
6	0.507628294036061	0.153952843273232	0.128987517337032	0.0513176144244105	0.0305131761442441	0.0513176144244105	0.0221914008321775	721	AFR	13917	0	0.945908460471567
7	0.541549295774648	0.136619718309859	0.127464788732394	0.047887323943662	0.0408450704225352	0.0422535211267606	0.0126760563380282	1420	AFR	27279	0	0.949295774647887
9	0.541611624834874	0.117569352708058	0.122853368560106	0.0541611624834875	0.0211360634081902	0.0422721268163804	0.0290620871862616	757	AFR	12777	0	0.928665785997358
10	0.50137741046832	0.140495867768595	0.112947658402204	0.0633608815426997	0.0275482093663912	0.0633608815426997	0.0220385674931129	363	AFR	6936	0	0.931129476584022
11	0.542087542087542	0.134680134680135	0.144781144781145	0.0404040404040404	0.0269360269360269	0.0572390572390572	0.00336700336700337	297	AFR	5820	0	0.94949494949495
12	0.543103448275862	0.142241379310345	0.114224137931034	0.040948275862069	0.0344827586206897	0.0517241379310345	0.0172413793103448	464	AFR	8133	0	0.943965517241379
13	0.51440329218107	0.138888888888889	0.113168724279835	0.0555555555555556	0.0421810699588477	0.0637860082304527	0.0216049382716049	972	AFR	15207	0	0.949588477366255
14	0.544570502431118	0.136952998379254	0.103727714748784	0.0445705024311183	0.03322528363047	0.0542949756888169	0.0145867098865478	1234	AFR	23175	0	0.93192868719611
