block	Singletons	Doubletons	MAC.3.5	MAC.6.10	MAC.11.20	MAC.21.MAF0.005	MAF0.005.MAF0.01	Total	pop	N_bp	Zeros	per_rv	alpha	beta	b	N	Fitted_singletons	Fitted_doubletons	Fitted_MAC3_5	Fitted_MAC6_10	Fitted_MAC11_20	Fitted_MAC21_MAF005	Fitted_MAF005_MAF01	bias_singletons	bias_doubletons	bias_MAC3_5	bias_MAC6_10	bias_MAC11_20	bias_21.MAF005	bias_MAF005_MAF01	check
0	0.480851063829787	0.121276595744681	0.123404255319149	0.0638297872340425	0.0425531914893617	0.0659574468085106	0.0148936170212766	470	AFR	8490	1	0.912765957446808	-0.358539635099897	1.47954954124342	0.248983766805602	8128	0.480256030569995	0.119598846905162	0.121644471685035	0.0656145494296945	0.0478914252382751	0.0599462218495141	0.0178144117691346	0.000595033259791877	0.00167774883951874	0.00175978363411376	-0.00178476219565195	-0.00533823374891342	0.00601122495899654	-0.002920794747858	-2.44942954807925e-15
1	0.516483516483517	0.130647130647131	0.102564102564103	0.0622710622710623	0.0317460317460317	0.0634920634920635	0.0207570207570208	819	AFR	13239	0	0.927960927960928	-0.430224300207087	1.47246223998535	0.226098030993776	8128	0.517622956191138	0.116394727067748	0.115182010676549	0.0613421340395237	0.0446531264925141	0.0560222853933514	0.0167436881001029	-0.00113943970762165	0.0142524035793829	-0.0126179081124469	0.000928928231538562	-0.0129070947464824	0.00746977809871209	0.00401333265691785	5.34294830600857e-16
2	0.497167138810198	0.128895184135977	0.13314447592068	0.0580736543909348	0.0410764872521246	0.0552407932011331	0.018413597733711	706	AFR	11037	0	0.932011331444759	-0.261058207963964	1.5760169171334	0.308623015770619	8128	0.49716530307812	0.129043167540378	0.128260505808656	0.0658588721765752	0.0455059117914307	0.0521938934194355	0.0139836776301628	1.8357320779594e-06	-0.000147983404400642	0.00488397011202416	-0.00778521778564034	-0.00442942453930602	0.00304689978169764	0.00442992010354825	9.95731275210687e-16
3	0.508364813815434	0.143550998381004	0.109552077711819	0.0474905558553697	0.0383162439287642	0.050728548300054	0.0161899622234215	1853	AFR	28833	0	0.914193200215866	-0.252183676530256	1.63591021059263	0.317445261448672	8128	0.510656652152306	0.127340780687622	0.122138527486108	0.0600698661755377	0.0399083335187387	0.0432384511923895	0.0108405890031632	-0.00229183833687119	0.0162102176933818	-0.0125864497742894	-0.012579310320168	-0.00159208958997455	0.00749009710766447	0.00534937322025828	1.43982048506075e-15
4	0.582317073170732	0.128048780487805	0.125	0.0396341463414634	0.0274390243902439	0.0457317073170732	0.00914634146341463	328	AFR	6117	0	0.957317073170732	-0.307094792118788	1.69049541553828	0.312762707134333	8128	0.581507246493725	0.128443618528587	0.115882751580438	0.0538515911148796	0.0342676359794861	0.035101074437533	0.00826315503608321	0.000809826677007019	-0.000394838040782136	0.00911724841956249	-0.0142174447734162	-0.00682861158924216	0.0106306328795402	0.000883186427331423	6.50521303491303e-16
5	0.52	0.129090909090909	0.128181818181818	0.0663636363636364	0.04	0.0427272727272727	0.0181818181818182	1100	AFR	22692	0	0.944545454545455	-0.251729777696886	1.62025330062355	0.325327461953544	8128	0.520448686269712	0.131593186752986	0.127547249763118	0.0634861652630166	0.0426258882401794	0.0468827846142457	0.0119614936421956	-0.000448686269712284	-0.0025022776620772	0.000634568418700188	0.00287747110061981	-0.0026258882401794	-0.00415551188697297	0.00622032453962258	7.19910242530375e-16
6	0.507628294036061	0.153952843273232	0.128987517337032	0.0513176144244105	0.0305131761442441	0.0513176144244105	0.0221914008321775	721	AFR	13917	0	0.945908460471567	-0.100098210046373	1.72357017245363	0.425578177980817	8128	0.510419530034413	0.140788328015582	0.136190894224604	0.0653065152184113	0.0416443767147922	0.0419698499805372	0.00958896628323016	-0.0027912359983524	0.0131645152576495	-0.00720337688757183	-0.0139889007940007	-0.0111312005705481	0.00934776444387334	0.0126024345489474	-2.8570895649338e-15
7	0.541549295774648	0.136619718309859	0.127464788732394	0.047887323943662	0.0408450704225352	0.0422535211267606	0.0126760563380282	1420	AFR	27279	0	0.949295774647887	-0.219140018704637	1.69285127213945	0.356616805853732	8128	0.542075099723166	0.134252651802407	0.125898474057064	0.0598405613722946	0.0384128449532037	0.0395111079195027	0.00930503482024866	-0.000525803948518422	0.00236706650745175	0.00156631467533042	-0.0119532374286327	0.00243222546933152	0.00274241320725786	0.00337102151777951	-1.90819582357449e-17
9	0.541611624834874	0.117569352708058	0.122853368560106	0.0541611624834875	0.0211360634081902	0.0422721268163804	0.0290620871862616	757	AFR	12777	0	0.928665785997358	-0.354420305725477	1.59385287249366	0.269947511934217	8128	0.542239670508118	0.12203904414582	0.114948101626774	0.0568054292284837	0.0383813564664964	0.0429932032751455	0.0112589807465236	-0.000628045673243149	-0.00446969143776167	0.00790526693333174	-0.00264426674499629	-0.0172452930583062	-0.000721076458765048	0.017803106439738	-2.61249355482107e-15
10	0.50137741046832	0.140495867768595	0.112947658402204	0.0633608815426997	0.0275482093663912	0.0633608815426997	0.0220385674931129	363	AFR	6936	0	0.931129476584022	-0.317884230863716	1.54081178620153	0.278959378558305	8128	0.502961080726689	0.125181330062527	0.124290567232466	0.0646104743723866	0.0454352640390279	0.0537138383251638	0.0149369218257598	-0.00158367025836903	0.0153145377060676	-0.0113429088302625	-0.00124959282968687	-0.0178870546726367	0.00964704321753593	0.00710164566735315	1.59594559789866e-15
