block	pop	downsample	exp_all	obs_all	N_bp	per_kb
0	sas	10	1.93340571	6	8490	0.706713780918728
0	sas	20	3.86508215	6	8490	0.706713780918728
0	sas	50	9.452951	13	8490	1.53121319199058
0	sas	100	17.7202473	22	8490	2.59128386336867
0	sas	200	32.2102297	35	8490	4.12249705535925
0	sas	500	65.363078	62	8490	7.30270906949352
0	sas	1000	107.897016	109	8490	12.8386336866902
0	sas	2000	173.545288	167	8490	19.6702002355713
0	sas	3070	230.454891	227	8490	26.7373380447585
0	sas	5000	314.114122	312	8490	36.7491166077738
0	sas	5040	315.733734	313	8490	36.866902237927
0	sas	8128	422.87024	434	8490	51.1189634864547
0	sas	9197	455.05763	466	8490	54.8881036513545
0	sas	10000	477.99886	482	8490	56.7726737338045
0	sas	10824	500.77479	501	8490	59.0106007067138
0	sas	15000	603.35406	604	8490	71.1425206124853
0	sas	15308	610.33786	611	8490	71.9670200235571
1	sas	10	3.3924496	1	13239	0.0755344059218974
1	sas	20	6.7651365	3	13239	0.226603217765692
1	sas	50	16.475298	14	13239	1.05748168290656
1	sas	100	30.858101	26	13239	1.96389455396933
1	sas	200	56.075085	49	13239	3.70118589017297
1	sas	500	113.821475	95	13239	7.17576856258025
1	sas	1000	187.84186	157	13239	11.8589017297379
1	sas	2000	302.02473	279	13239	21.0740992522094
1	sas	3070	400.999	372	13239	28.0987990029458
1	sas	5000	546.23216	503	13239	37.9938061787144
1	sas	5040	549.03112	505	13239	38.1448749905582
1	sas	8128	734.46757	680	13239	51.3633960268902
1	sas	9197	790.15212	732	13239	55.2911851348289
1	sas	10000	829.81335	770	13239	58.161492559861
1	sas	10824	869.0879	809	13239	61.107334390815
1	sas	15000	1045.96167	1013	13239	76.5163531988821
1	sas	15308	1057.98781	1023	13239	77.2716972581011
2	sas	10	3.2293791	4	11037	0.362417323548066
2	sas	20	6.4337005	6	11037	0.543625985322098
2	sas	50	15.691114	12	11037	1.0872519706442
2	sas	100	29.379116	27	11037	2.44631693394944
2	sas	200	53.390412	53	11037	4.80202953701187
2	sas	500	108.33939	92	11037	8.33559844160551
2	sas	1000	178.8301	158	11037	14.3154842801486
2	sas	2000	287.43281	261	11037	23.6477303615113
2	sas	3070	381.50709	362	11037	32.7987677810999
2	sas	5000	519.43114	489	11037	44.305517803751
2	sas	5040	522.08369	492	11037	44.5773307964121
2	sas	8128	698.0435	659	11037	59.7082540545438
2	sas	9197	750.8282	724	11037	65.5975355621999
2	sas	10000	788.4019	755	11037	68.4062698196974
2	sas	10824	825.6121	791	11037	71.66802573163
2	sas	15000	993.0578	962	11037	87.1613663133098
2	sas	15308	1004.4272	973	11037	88.158013953067
3	sas	10	8.308445	10	28833	0.346824818784032
3	sas	20	16.558277	18	28833	0.624284673811258
3	sas	50	40.419928	38	28833	1.31793431137932
3	sas	100	75.665039	57	28833	1.97690146706898
3	sas	200	137.495988	107	28833	3.71102556098914
3	sas	500	278.95754	219	28833	7.5954635313703
3	sas	1000	460.54408	394	28833	13.6648978600909
3	sas	2000	740.23143	627	28833	21.7459161377588
3	sas	3070	982.53607	858	28833	29.75756945167
3	sas	5000	1337.92483	1161	28833	40.2663614608261
3	sas	5040	1344.74191	1169	28833	40.5438213158534
3	sas	8128	1798.5362	1612	28833	55.908160787986
3	sas	9197	1934.6355	1760	28833	61.0411681059897
3	sas	10000	2031.5975	1868	28833	64.7868761488572
3	sas	10824	2127.6204	1964	28833	68.1163944091839
3	sas	15000	2559.8962	2418	28833	83.862241181979
3	sas	15308	2589.2729	2443	28833	84.7293032289391
4	sas	10	1.6685316	3	6117	0.490436488474743
4	sas	20	3.3352721	5	6117	0.817394147457904
4	sas	50	8.083698	8	6117	1.30783063593265
4	sas	100	15.147295	12	6117	1.96174595389897
4	sas	200	27.517374	21	6117	3.4330554193232
4	sas	500	55.896926	44	6117	7.19306849762956
