block	Singletons	Doubletons	MAC.3.5	MAC.6.10	MAC.11.20	MAC.21.MAF0.005	MAF0.005.MAF0.01	Total	pop	N_bp
0	558	190	186	87	52	68	9	1169	NFE	8490
1	1056	343	332	144	86	89	14	2110	NFE	13239
2	971	339	288	118	55	79	4	1892	NFE	11037
3	2612	792	751	322	143	163	9	4906	NFE	28833
4	567	153	153	57	29	37	3	1003	NFE	6117
5	1746	482	484	204	90	119	12	3166	NFE	22692
6	1086	338	343	123	62	76	9	2064	NFE	13917
7	2234	655	668	247	122	149	10	4139	NFE	27279
9	968	293	315	146	87	78	3	1921	NFE	12777
10	563	189	155	51	31	37	2	1039	NFE	6936
11	417	124	139	59	29	46	2	825	NFE	5820
12	682	204	192	78	45	55	6	1274	NFE	8133
13	1217	400	441	201	83	106	9	2494	NFE	15207
14	1771	481	511	206	109	122	11	3260	NFE	23175
15	1509	518	541	235	135	149	8	3147	NFE	20241
16	1380	414	394	146	103	99	6	2576	NFE	16890
18	1970	648	615	258	131	139	11	3827	NFE	25321
19	1162	387	356	145	69	83	6	2251	NFE	16731
20	778	221	218	92	40	67	4	1443	NFE	10314
21	468	140	111	52	22	43	4	860	NFE	6921
22	465	102	97	56	22	35	8	806	NFE	8175
24	419	113	142	48	23	44	2	813	NFE	6033
25	1635	501	422	171	87	104	8	2958	NFE	22178
26	1533	497	475	185	102	133	11	3001	NFE	23505
27	1430	407	372	145	84	105	5	2594	NFE	19620
28	4054	1003	862	350	182	251	24	6882	NFE	47499
29	772	203	193	79	53	58	3	1389	NFE	10443
30	1976	552	496	214	132	138	10	3561	NFE	27474
31	4203	1262	1143	420	226	275	16	7641	NFE	57595
32	2042	643	578	245	102	159	19	3829	NFE	26001
33	4083	1082	964	411	212	278	24	7148	NFE	58758
34	2177	596	512	185	120	110	7	3749	NFE	31911
35	440	135	107	48	20	38	1	798	NFE	5943
36	1825	538	502	187	103	133	13	3330	NFE	25500
37	1326	422	399	158	88	92	9	2535	NFE	19029
38	2327	682	662	284	126	155	15	4313	NFE	32334
39	1385	401	426	173	113	118	12	2696	NFE	17358
40	1073	315	313	116	58	60	3	1953	NFE	16486
41	1177	346	425	170	100	121	11	2393	NFE	15855
42	2376	711	695	274	146	193	9	4491	NFE	33048
43	1127	300	262	116	46	84	5	1969	NFE	15918
44	1724	513	485	198	104	120	12	3207	NFE	23379
45	2408	644	617	232	105	150	18	4214	NFE	32412
46	3272	935	854	329	153	190	12	5803	NFE	44412
47	1651	399	351	169	80	116	7	2837	NFE	22293
48	1694	433	328	147	83	149	13	2906	NFE	22182
49	1048	243	219	90	54	69	3	1763	NFE	13599
51	390	100	105	29	9	23	3	664	NFE	4788
52	304	82	69	23	13	26	2	523	NFE	3900
53	227	75	80	23	18	20	0	448	NFE	3243
54	375	94	93	32	19	17	2	636	NFE	5007
55	1553	491	432	179	89	119	9	2933	NFE	21141
56	414	109	106	43	26	35	2	741	NFE	5124
58	1582	464	433	179	114	110	7	2933	NFE	23547
59	1108	342	310	135	59	83	7	2093	NFE	15276
60	3339	1045	904	396	179	256	13	6205	NFE	45183
61	5186	1318	1258	463	279	306	22	8953	NFE	81235
62	4057	1182	1166	460	217	282	16	7490	NFE	54094
63	2996	840	815	324	170	275	19	5542	NFE	44391
64	2701	778	714	304	151	175	19	4895	NFE	39693
65	1933	594	605	263	120	175	20	3784	NFE	26013
66	4045	1218	1132	441	253	303	14	7470	NFE	54678
67	2544	715	710	339	174	256	10	4842	NFE	28399
68	2647	734	595	248	129	204	9	4648	NFE	38463
69	745	214	198	98	41	84	2	1411	NFE	10323
70	878	262	248	120	67	66	5	1676	NFE	12993
71	4137	1176	1075	387	214	233	23	7328	NFE	55181
72	874	225	194	95	47	62	5	1531	NFE	11916
73	1212	306	287	113	48	62	6	2054	NFE	19065
74	1535	424	436	159	96	121	4	2807	NFE	19599
75	1276	353	333	133	80	123	4	2351	NFE	19220
76	1724	470	442	174	107	111	7	3086	NFE	27204
77	1893	592	489	207	101	143	12	3501	NFE	26076
78	2267	636	564	213	126	156	16	4032	NFE	29892
79	3916	1143	998	382	231	305	33	7086	NFE	51234
80	1363	387	415	147	71	122	6	2536	NFE	18402
81	1221	373	330	144	69	83	10	2258	NFE	18270
82	554	141	139	76	33	42	1	1015	NFE	6609
83	579	153	134	56	37	45	2	1025	NFE	7302
84	400	104	111	53	23	39	1	744	NFE	5775
85	1363	362	355	134	79	129	15	2502	NFE	19972
