block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF005	MAF005-MAF01	rep	data
0	EAS	19	12	16	16	9	28	9	1	Original HAPGEN2
0	EAS	20	9	14	17	16	32	8	2	Original HAPGEN2
0	EAS	18	11	11	18	19	25	6	3	Original HAPGEN2
0	EAS	19	5	20	16	16	32	6	4	Original HAPGEN2
0	EAS	17	11	14	13	17	25	11	5	Original HAPGEN2
0	EAS	20	8	25	11	16	33	1	6	Original HAPGEN2
0	EAS	16	10	16	14	24	29	5	7	Original HAPGEN2
0	EAS	15	14	8	16	20	35	3	8	Original HAPGEN2
0	EAS	16	8	17	16	14	39	6	9	Original HAPGEN2
0	EAS	21	10	12	16	16	29	4	10	Original HAPGEN2
0	EAS	13	3	18	12	14	27	10	11	Original HAPGEN2
0	EAS	18	6	12	16	18	32	7	12	Original HAPGEN2
0	EAS	14	12	18	15	21	40	4	13	Original HAPGEN2
0	EAS	19	9	15	18	16	30	5	14	Original HAPGEN2
0	EAS	16	11	23	21	11	27	8	15	Original HAPGEN2
0	EAS	15	8	17	18	13	38	2	16	Original HAPGEN2
0	EAS	22	10	17	12	13	29	3	17	Original HAPGEN2
0	EAS	10	7	24	16	17	35	5	18	Original HAPGEN2
0	EAS	22	20	9	10	20	26	8	19	Original HAPGEN2
0	EAS	22	9	13	14	20	35	3	20	Original HAPGEN2
0	EAS	17	12	22	16	13	35	4	21	Original HAPGEN2
0	EAS	17	6	16	14	24	33	5	22	Original HAPGEN2
0	EAS	22	5	14	9	16	34	6	23	Original HAPGEN2
0	EAS	21	6	15	21	14	30	7	24	Original HAPGEN2
0	EAS	18	12	18	18	12	36	5	25	Original HAPGEN2
0	EAS	11	5	16	14	21	32	8	26	Original HAPGEN2
0	EAS	11	14	18	15	18	33	4	27	Original HAPGEN2
0	EAS	20	10	21	13	15	32	1	28	Original HAPGEN2
0	EAS	19	11	16	20	20	30	9	29	Original HAPGEN2
0	EAS	14	10	13	17	22	34	5	30	Original HAPGEN2
0	EAS	14	8	22	10	17	34	6	31	Original HAPGEN2
0	EAS	15	9	14	16	17	27	6	32	Original HAPGEN2
0	EAS	19	6	14	12	16	37	6	33	Original HAPGEN2
0	EAS	15	6	20	12	19	24	6	34	Original HAPGEN2
0	EAS	18	13	16	12	18	36	2	35	Original HAPGEN2
0	EAS	14	12	20	17	22	26	2	36	Original HAPGEN2
0	EAS	22	11	15	13	16	25	7	37	Original HAPGEN2
0	EAS	18	8	12	16	17	25	5	38	Original HAPGEN2
0	EAS	20	4	16	20	17	24	6	39	Original HAPGEN2
0	EAS	19	9	15	17	16	30	4	40	Original HAPGEN2
0	EAS	13	3	21	13	24	32	2	41	Original HAPGEN2
0	EAS	15	10	13	15	14	41	4	42	Original HAPGEN2
0	EAS	16	7	20	24	7	29	9	43	Original HAPGEN2
0	EAS	13	11	20	7	17	35	2	44	Original HAPGEN2
0	EAS	17	6	14	14	21	34	5	45	Original HAPGEN2
0	EAS	11	8	18	20	22	32	7	46	Original HAPGEN2
0	EAS	20	14	13	15	14	34	4	47	Original HAPGEN2
0	EAS	23	6	13	13	11	35	6	48	Original HAPGEN2
0	EAS	19	7	16	18	24	35	5	49	Original HAPGEN2
0	EAS	24	9	9	16	14	20	2	50	Original HAPGEN2
0	EAS	24	10	13	19	20	30	4	51	Original HAPGEN2
0	EAS	19	9	22	17	19	30	4	52	Original HAPGEN2
0	EAS	22	7	15	11	18	34	7	53	Original HAPGEN2
0	EAS	19	15	9	17	21	28	9	54	Original HAPGEN2
0	EAS	16	11	19	21	22	21	6	55	Original HAPGEN2
0	EAS	30	7	16	9	19	24	9	56	Original HAPGEN2
0	EAS	15	11	20	12	26	40	5	57	Original HAPGEN2
0	EAS	11	13	16	16	23	26	5	58	Original HAPGEN2
0	EAS	15	8	17	19	15	28	11	59	Original HAPGEN2
0	EAS	26	13	14	15	18	36	6	60	Original HAPGEN2
0	EAS	14	6	15	14	26	26	7	61	Original HAPGEN2
0	EAS	15	16	19	12	16	35	8	62	Original HAPGEN2
0	EAS	13	6	14	16	20	31	2	63	Original HAPGEN2
0	EAS	19	12	21	11	12	33	7	64	Original HAPGEN2
0	EAS	14	10	19	17	15	32	3	65	Original HAPGEN2
0	EAS	21	11	17	15	15	40	3	66	Original HAPGEN2
