block	pop	downsample	exp_all	obs_all	exp_syn	obs_syn	exp_mis	obs_mis	exp_lof	obs_lof
0	afr	10	4.4061399	4	1.381614	2	2.87357	2	0.1509559	NA
0	afr	20	8.4872127	6	2.652545	3	5.540159	3	0.2945087	NA
0	afr	50	18.3747991	15	5.729205	7	12.00419	8	0.6414041	NA
0	afr	100	30.5851962	28	9.533459	17	19.98513	11	1.0666072	NA
0	afr	200	49.387971	48	15.37679	22	32.29189	26	1.719291	NA
0	afr	500	87.778809	72	27.34504	32	57.3829	40	3.050869	NA
0	afr	1000	132.675227	117	41.3036	54	86.74986	62	4.621767	NA
0	afr	2000	199.581634	173	62.07934	68	130.5221	103	6.980194	NA
0	afr	3070	256.394115	221	79.66445	84	167.7155	132	9.014165	NA
0	afr	5000	338.633471	298	105.04685	117	221.584	176	12.002621	NA
0	afr	5040	340.151698	301	105.51094	118	222.5814	178	12.059358	NA
0	afr	8128	443.22339	400	137.1364	150	290.1796	242	15.90739	NA
0	eas	10	2.24077721	1	0.6957613	0	1.468701	1	0.07631491	NA
0	eas	20	4.3092961	2	1.339174	0	2.821944	2	0.1481781	NA
0	eas	50	10.1293806	6	3.161931	1	6.621894	5	0.3455556	NA
0	eas	100	18.3967685	12	5.744738	1	12.02174	11	0.6302905	NA
0	eas	200	32.0062741	23	9.995425	8	20.91249	14	1.0983591	NA
0	eas	500	62.498276	49	19.53419	22	40.82403	24	2.140056	NA
0	eas	1000	99.768684	88	31.15339	34	65.19027	51	3.425024	NA
0	eas	2000	156.462243	130	48.80133	44	102.2615	83	5.399413	NA
0	eas	3070	203.584346	171	63.44134	61	133.0854	106	7.057606	NA
0	eas	5000	272.119261	235	84.59199	76	177.995	155	9.532271	NA
0	eas	5040	273.342906	237	84.97505	77	178.7925	156	9.575356	NA
0	eas	8128	359.290629	318	111.41064	102	235.1477	211	12.732289	NA
0	eas	9197	385.22092	352	119.38295	119	252.1428	227	13.69517	NA
0	global	10	1.25102346	1	0.3899477	0	0.8190054	1	0.04207036	NA
0	global	20	2.49070945	4	0.7746494	1	1.631286	3	0.08477405	NA
0	global	50	7.0803123	7	2.207553	1	4.631063	5	0.2416963	NA
0	global	100	14.2299452	9	4.43817	2	9.304391	6	0.4873842	NA
0	global	200	27.8654274	27	8.706654	9	18.20518	17	0.9535934	NA
0	global	500	64.489077	57	20.1154	20	42.14558	36	2.228097	NA
0	global	1000	116.630632	105	36.37116	34	76.2163	69	4.043172	NA
0	global	2000	196.378273	197	61.04886	80	128.4528	114	6.876613	NA
0	global	3070	267.702605	282	83.10168	104	175.1567	174	9.444225	NA
0	global	5000	372.9249	367	115.51645	141	244.105	221	13.30345	NA
0	global	5040	374.97239	371	116.14114	142	245.4506	224	13.38065	NA
0	global	8128	509.06922	494	157.1396	185	333.4788	301	18.45082	NA
0	global	9197	550.73249	531	169.7773	200	360.8868	322	20.06839	NA
0	global	10000	579.22364	548	178.4303	203	379.6116	335	21.18174	NA
0	global	10824	606.9912	574	186.8406	210	397.8724	353	22.2782	NA
0	global	15000	736.60895	713	225.8785	255	483.2534	447	27.47705	NA
0	global	15308	745.26005	722	228.4671	260	488.9656	451	27.82735	NA
0	global	17296	799.77404	772	244.7992	279	524.906	482	30.06884	NA
0	global	20000	868.28497	824	265.1962	295	570.1536	518	32.93517	NA
0	global	25000	980.9876	933	298.6511	333	644.6025	588	37.734	NA
0	global	30000	1080.51711	1031	327.9211	363	710.5051	652	42.09091	NA
0	global	35000	1171.32541	1103	354.4958	386	770.6895	701	46.14011	NA
0	global	40000	1254.92205	1174	378.8556	409	826.134	747	49.93245	NA
0	global	45000	1332.04319	1250	401.1777	436	877.375	793	53.49049	NA
